<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.RTSI,10,20190103,101000,1068.7800000,1070.1100000,1063.6300000,1066.3500000,13685678
RI.RTSI,10,20190103,102000,1066.4100000,1068.5000000,1065.6600000,1067.0000000,7209082
RI.RTSI,10,20190103,103000,1067.0200000,1070.9400000,1066.6800000,1070.8100000,9254651
RI.RTSI,10,20190103,104000,1070.8000000,1074.1900000,1070.8000000,1074.1600000,6987177
RI.RTSI,10,20190103,105000,1074.1300000,1076.3400000,1074.1300000,1076.2800000,5323654
RI.RTSI,10,20190103,110000,1076.2800000,1077.8300000,1074.0100000,1074.0100000,8769424
RI.RTSI,10,20190103,111000,1074.0000000,1076.3200000,1073.6300000,1075.9700000,14238305
RI.RTSI,10,20190103,112000,1076.0400000,1077.4800000,1075.8300000,1076.0200000,16968588
RI.RTSI,10,20190103,113000,1076.0200000,1078.3000000,1075.7700000,1078.0700000,8681963
RI.RTSI,10,20190103,114000,1078.0400000,1079.1900000,1077.1800000,1077.4600000,8070247
RI.RTSI,10,20190103,115000,1077.4900000,1079.3200000,1077.0900000,1078.1000000,6261440
RI.RTSI,10,20190103,120000,1078.1000000,1079.0200000,1077.5200000,1078.6000000,5065675
RI.RTSI,10,20190103,121000,1078.6100000,1082.0400000,1078.5600000,1080.7600000,6584027
RI.RTSI,10,20190103,122000,1080.8100000,1082.9100000,1080.3900000,1082.7500000,6128068
RI.RTSI,10,20190103,123000,1082.7500000,1084.1100000,1082.2900000,1083.1700000,6088857
RI.RTSI,10,20190103,124000,1083.1400000,1083.1400000,1081.6300000,1081.7500000,4507895
RI.RTSI,10,20190103,125000,1081.7500000,1083.1400000,1080.9200000,1082.1700000,3711831
RI.RTSI,10,20190103,130000,1082.1600000,1082.5800000,1080.0600000,1080.2400000,4599784
RI.RTSI,10,20190103,131000,1080.3400000,1080.5300000,1078.6800000,1078.7900000,3476907
RI.RTSI,10,20190103,132000,1078.7900000,1081.2300000,1078.5200000,1080.8700000,3746146
RI.RTSI,10,20190103,133000,1080.8900000,1081.0300000,1079.4500000,1079.6000000,2775957
RI.RTSI,10,20190103,134000,1079.6200000,1080.2000000,1079.0700000,1080.1700000,3367785
RI.RTSI,10,20190103,135000,1080.1700000,1081.5700000,1079.7200000,1081.1100000,3364448
RI.RTSI,10,20190103,140000,1081.1200000,1081.5100000,1080.3800000,1080.5600000,2974997
RI.RTSI,10,20190103,141000,1080.5600000,1081.7900000,1080.3900000,1081.1700000,3668137
RI.RTSI,10,20190103,142000,1081.1700000,1081.9300000,1079.6000000,1081.7600000,2991705
RI.RTSI,10,20190103,143000,1081.7100000,1083.6900000,1081.3700000,1083.6800000,3099334
RI.RTSI,10,20190103,144000,1083.7400000,1084.2800000,1083.4200000,1083.5600000,2944097
RI.RTSI,10,20190103,145000,1083.5500000,1083.8300000,1082.6300000,1083.2800000,3489514
RI.RTSI,10,20190103,150000,1083.3100000,1085.0700000,1082.9800000,1084.9800000,2739540
RI.RTSI,10,20190103,151000,1084.9900000,1085.5900000,1084.3400000,1084.6300000,3317210
RI.RTSI,10,20190103,152000,1084.6200000,1086.2000000,1084.3700000,1085.5000000,3351370
RI.RTSI,10,20190103,153000,1085.5000000,1085.9900000,1084.9500000,1085.9000000,3017691
RI.RTSI,10,20190103,154000,1085.9600000,1087.5600000,1085.9200000,1087.5100000,4742015
RI.RTSI,10,20190103,155000,1087.5100000,1087.8900000,1086.7800000,1086.7800000,3972144
RI.RTSI,10,20190103,160000,1086.8300000,1087.3400000,1086.3100000,1087.0400000,4506845
RI.RTSI,10,20190103,161000,1087.0400000,1089.3100000,1086.3200000,1089.1600000,5008590
RI.RTSI,10,20190103,162000,1089.1500000,1090.2500000,1088.8400000,1090.2300000,4792392
RI.RTSI,10,20190103,163000,1090.2400000,1090.5700000,1089.4200000,1089.8400000,4207308
RI.RTSI,10,20190103,164000,1089.8400000,1091.2500000,1089.7200000,1090.4600000,4052720
RI.RTSI,10,20190103,165000,1090.4700000,1092.5500000,1090.4700000,1092.4300000,4777891
RI.RTSI,10,20190103,170000,1092.3900000,1093.2200000,1091.6300000,1091.8700000,3883958
RI.RTSI,10,20190103,171000,1091.8400000,1092.3300000,1090.6800000,1091.3800000,4760745
RI.RTSI,10,20190103,172000,1091.3800000,1091.4000000,1090.1400000,1090.4500000,5282910
RI.RTSI,10,20190103,173000,1090.4500000,1090.7100000,1089.7500000,1090.7100000,4967156
RI.RTSI,10,20190103,174000,1090.7200000,1091.1500000,1085.3200000,1086.1700000,10146461
